ES,EN,PT,DE,FR,IT
El laberinto del fauno,Pan's Labyrinth,O Labirinto do Fauno,Pans Labyrinth,Le Labyrinthe de Pan,Il labirinto del fauno
El origen,Inception,A Origem,Inception,Inception,Inception
El padrino,The Godfather,O Poderoso Chefão,Der Pate,Le Parrain,Il padrino
El Perfecto Asesino,Léon,O Profissional,Léon,Léon,Léon
El Pianista,The Pianist,O Pianista,Der Pianist,Le Pianiste,Il pianista
El Quinto Elemento,The Fifth Element,O Quinto Elemento,Das fünfte Element,Le Cinquième Élément,Il quinto elemento
El resplandor,The Shining,O Iluminado,Shining,Shining,Shining
El rey león,The Lion King,O Rei Leão,Der König der Löwen,Le Roi lion,Il re leone
El Sexto Sentido,The Sixth Sense,O Sexto Sentido,The Sixth Sense,Sixième Sens,The Sixth Sense
El Último Samurái,The Last Samurai,O Último Samurai,Last Samurai,Le Dernier Samouraï,L'ultimo samurai
El viaje de Chihiro,Spirited Away,A Viagem de Chihiro,Chihiros Reise ins Zauberland,Le Voyage de Chihiro,La città incantata
Encanto,Encanto,Encanto,Encanto,Encanto,Encanto
Enredados,Tangled,Enrolados,Rapunzel,Raiponce,Rapunzel
Escuadrón Suicida,Suicide Squad,Esquadrão Suicida,Suicide Squad,Suicide Squad,Suicide Squad
Escuela de Rock,School of Rock,Escola de Rock,School of Rock,Rock Academy,School of Rock
Espartaco,Spartacus,Spartacus,Spartacus,Spartacus,Spartacus
E.T.,E.T.,E.T.,E.T.,E.T.,E.T.
Exterminio,28 Days Later,Extermínio,28 Days Later,28 Jours plus tard,28 giorni dopo
Fargo,Fargo,Fargo,Fargo,Fargo,Fargo
Filadelfia,Philadelphia,Filadélfia,Philadelphia,Philadelphia,Philadelphia
Forrest Gump,Forrest Gump,Forrest Gump,Forrest Gump,Forrest Gump,Forrest Gump
Fragmentado,Split,Fragmentado,Split,Split,Split
Francotirador,American Sniper,Sniper Americano,American Sniper,American Sniper,American Sniper
Free Guy,Free Guy,Free Guy,Free Guy,Free Guy,Free Guy
Frozen,Frozen,Frozen,Die Eiskönigin,La Reine des neiges,Frozen
Furia de Titanes,Clash of the Titans,Fúria de Titãs,Kampf der Titanen,Le Choc des Titans,Scontro tra titani
Gandhi,Gandhi,Gandhi,Gandhi,Gandhi,Gandhi
Ghost,Ghost,Ghost,Ghost,Ghost,Ghost
Gigantes de Acero,Real Steel,Gigantes de Aço,Real Steel,Real Steel,Real Steel
Gladiador,Gladiator,Gladiador,Gladiator,Gladiator,Il gladiatore
Golpes del Destino,Million Dollar Baby,Menina de Ouro,Million Dollar Baby,Million Dollar Baby,Million Dollar Baby
Grandes Héroes,Big Hero 6,Operação Big Hero,Baymax,Les Nouveaux Héros,Big Hero 6
Gran Torino,Gran Torino,Gran Torino,Gran Torino,Gran Torino,Gran Torino
Gravedad,Gravity,Gravidade,Gravity,Gravity,Gravity
Green Book,Green Book,Green Book,Green Book,Green Book,Green Book
Guardianes de la galaxia,Guardians of the Galaxy,Guardiões da Galáxia,Guardians of the Galaxy,Les Gardiens de la Galaxie,Guardiani della Galassia
Guerra mundial Z,World War Z,Guerra Mundial Z,World War Z,World War Z,World War Z
Halloween,Halloween,Halloween,Halloween,La Nuit des masques,Halloween
Hancock,Hancock,Hancock,Hancock,Hancock,Hancock
Happy Feet,Happy Feet,Happy Feet,Happy Feet,Happy Feet,Happy Feet
Harry Potter,Harry Potter,Harry Potter,Harry Potter,Harry Potter,Harry Potter
Hasta el Último Hombre,Hacksaw Ridge,Até o Último Homem,Hacksaw Ridge,Tu ne tueras point,La battaglia di Hacksaw Ridge
Hechizo del tiempo,Groundhog Day,Feitiço do Tempo,Und täglich grüßt das Murmeltier,Un jour sans fin,Ricomincio da capo
Hércules,Hercules,Hércules,Hercules,Hercule,Hercules
Historias Cruzadas,The Help,Histórias Cruzadas,The Help,La Couleur des sentiments,The Help
Hitch,Hitch,Hitch,Hitch,Hitch,Hitch
Hombres de negro,Men in Black,Homens de Preto,Men in Black,Men in Black,Men in Black
Hotel Transylvania,Hotel Transylvania,Hotel Transilvânia,Hotel Transsilvanien,Hôtel Transylvanie,Hotel Transylvania
Hulk,Hulk,Hulk,Hulk,Hulk,Hulk
¡Huye!,Get Out,Corra!,Get Out,Get Out,Scappa
Indiana Jones,Indiana Jones,Indiana Jones,Indiana Jones,Indiana Jones,Indiana Jones
Intensamente,Inside Out,Divertida Mente,Alles steht Kopf,Vice-versa,Inside Out
Interestelar,Interstellar,Interestelar,Interstellar,Interstellar,Interstellar
Iron Man,Iron Man,Homem de Ferro,Iron Man,Iron Man,Iron Man
It,It,It,Es,Ça,It
John Wick,John Wick,John Wick,John Wick,John Wick,John Wick
Jumanji,Jumanji,Jumanji,Jumanji,Jumanji,Jumanji
Karate Kid,The Karate Kid,Karatê Kid,Karate Kid,Karate Kid,The Karate Kid
Kill Bill,Kill Bill,Kill Bill,Kill Bill,Kill Bill,Kill Bill
King Kong,King Kong,King Kong,King Kong,King Kong,King Kong
Kingsman,Kingsman,Kingsman,Kingsman,Kingsman,Kingsman
Kung Fu Panda,Kung Fu Panda,Kung Fu Panda,Kung Fu Panda,Kung Fu Panda,Kung Fu Panda
La bella durmiente,Sleeping Beauty,A Bela Adormecida,Dornröschen,La Belle au bois dormant,La bella addormentata nel bosco
La Cenicienta,Cinderella,Cinderela,Aschenputtel,Cendrillon,Cenerentola
La era de hielo,Ice Age,A Era do Gelo,Ice Age,L'Âge de glace,L'era glaciale
La forma del agua,The Shape of Water,A Forma da Água,Shape of Water,La Forme de l'eau,La forma dell'acqua
La Gran Apuesta,The Big Short,A Grande Aposta,The Big Short,The Big Short,La grande scommessa
La Máscara,The Mask,O Máskara,Die Maske,The Mask,The Mask
La Momia,The Mummy,A Múmia,Die Mumie,La Momie,La mummia
La sirenita,The Little Mermaid,A Pequena Sereia,"Arielle, die Meerjungfrau",La Petite Sirène,La sirenetta
La Vida es Bella,Life Is Beautiful,A Vida é Bela,Das Leben ist schön,La vie est belle,La vita è bella
Legalmente Rubia,Legally Blonde,Legalmente Loira,Natürlich blond,La Revanche d'une blonde,La rivincita delle bionde
Los Cazafantasmas,Ghostbusters,Os Caça-Fantasmas,Ghostbusters,S.O.S. Fantômes,Ghostbusters
Los increíbles,The Incredibles,Os Incríveis,Die Unglaublichen,Les Indestructibles,Gli Incredibili
Los Locos Addams,The Addams Family,A Família Addams,Die Addams Family,La Famille Addams,La famiglia Addams
Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar
Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!
Matilda,Matilda,Matilda,Matilda,Matilda,Matilda 6 mitica
Matrix,The Matrix,Matrix,Matrix,Matrix,Matrix
Metrópolis,Metropolis,Metrópolis,Metropolis,Metropolis,Metropolis
Mi pobre angelito,Home Alone,Esqueceram de Mim,Kevin,"Maman, j'ai raté l'avion !","Mamma, ho perso l'aereo"
Misión imposible,Mission Impossible,Missão Impossível,Mission Impossible,Mission Impossible,Mission Impossible
Mi villano favorito,Despicable Me,Meu Malvado Favorito,Ich,"Moi, moche et méchant",Cattivissimo me
Moana,Moana,Moana,Vaiana,Vaiana,Oceania
Monsters Inc.,"Monsters, Inc.",Monstros S.A.,Die Monster AG,Monstres & Cie,Monsters & Co.
Moulin Rouge,Moulin Rouge!,Moulin Rouge,Moulin Rouge,Moulin Rouge !,Moulin Rouge!
Mujer bonita,Pretty Woman,Uma Linda Mulher,Pretty Woman,Pretty Woman,Pretty Woman
Mulán,Mulan,Mulan,Mulan,Mulan,Mulan
No se Aceptan Devoluciones,Instructions Not Included,Não Aceitamos Devoluções,Plötzlich Vater,Ni repris ni échangé,Istruzioni Non Incluse
Nosotros los nobles,We Are the Nobles,Los Nobles,Die Kinder des Señor Noble,Nosotros los nobles,Nosotros los nobles
Nueve reinas,Nine Queens,Nove Rainhas,Nine Queens,Les Neuf Reines,Nove regine
Oppenheimer,Oppenheimer,Oppenheimer,Oppenheimer,Oppenheimer,Oppenheimer
Parque Jurásico,Jurassic Park,Jurassic Park,Jurassic Park,Jurassic Park,Jurassic Park
Pinocho,Pinocchio,Pinóquio,Pinocchio,Pinocchio,Pinocchio
Piratas del Caribe,Pirates of the Caribbean,Piratas do Caribe,Fluch der Karibik,Pirates des Caraïbes,Pirati dei Caraibi
Pocahontas,Pocahontas,Pocahontas,Pocahontas,Pocahontas,Pocahontas
Psicosis,Psycho,Psicose,Psycho,Psychose,Psyco
Rambo,Rambo,Rambo,Rambo,Rambo,Rambo
Rápido y furioso,The Fast and the Furious,Velozes e Furiosos,The Fast and the Furious,Fast and Furious,Fast and Furious
Ratatouille,Ratatouille,Ratatouille,Ratatouille,Ratatouille,Ratatouille
RoboCop,RoboCop,RoboCop,RoboCop,RoboCop,RoboCop
Rocky,Rocky,Rocky,Rocky,Rocky,Rocky
Sangre por Sangre,Bound by Honor,Sangue Por Sangue,Blood In Blood Out,Les Princes de la ville,Patto di sangue
Selena,Selena,Selena,Selena,Selena,Selena
Shrek,Shrek,Shrek,Shrek,Shrek,Shrek
Sonic,Sonic,Sonic,Sonic,Sonic,Sonic
Space Jam,Space Jam,Space Jam,Space Jam,Space Jam,Space Jam
Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars
Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.
Tarzán,Tarzan,Tarzan,Tarzan,Tarzan,Tarzan
Terminator,Terminator,O Exterminador do Futuro,Terminator,Terminator,Terminator
Tiburón,Jaws,Tubarão,Der weiße Hai,Les Dents de la mer,Lo squalo
Titanic,Titanic,Titanic,Titanic,Titanic,Titanic
Top Gun,Top Gun,Top Gun,Top Gun,Top Gun,Top Gun
Toy Story,Toy Story,Toy Story,Toy Story,Toy Story,Toy Story
Vaselina,Grease,Grease,Grease,Grease,Grease
Volver al Futuro,Back to the Future,De Volta para o Futuro,Zurück in die Zukunft,Retour vers le futur,Ritorno al futuro
WALL-E,WALL-E,WALL-E,WALL-E,WALL-E,WALL-E
