Name,ES,EN,PT,DE,FR,IT
199,MANÍ,PEANUT,AMENDOIM,ERDNUSS,CACAHUÈTE,ARACHIDE
200,MANTEQUILLA,BUTTER,MANTEIGA,BUTTER,BEURRE,BURRO
201,MANZANA,APPLE,MACA,APFEL,POMME,MELA
202,MATE,MATE,CHIMARRAO,MATE,MATÉ,MATE
203,MAYONESA,MAYONNAISE,MAIONESE,MAYONNAISE,MAYONNAISE,MAIONESE
204,MELÓN,MELON,MELAO,MELONE,MELON,MELONE
205,MERMELADA,JAM,GELEIA,MARMELADE,CONFITURE,MARMELLATA
206,MIEL,HONEY,MEL,HONIG,MIEL,MIELE
207,MILANESA,SCHNITZEL,MILANESA,SCHNITZEL,ESCALOPE,COTOLETTA
208,MOSTAZA,MUSTARD,MOSTARDA,SENF,MOUTARDE,SENAPE
209,NACHOS,NACHOS,NACHOS,NACHOS,NACHOS,NACHOS
210,NARANJA,ORANGE,LARANJA,ORANGE,ORANGE,ARANCIA
211,NUEZ,WALNUT,NOZ,WALNUSS,NOIX,NOCE
212,PALOMITAS DE MAÍZ,POPCORN,PIPOCA,POPCORN,POP-CORN,POPCORN
213,PALTA,AVOCADO,ABACATE,AVOCADO,AVOCAT,AVOCADO
214,PAN,BREAD,PAO,BROT,PAIN,PANE
215,PANQUEQUE,PANCAKE,PANQUECA,PFANNKUCHEN,CRÊPE,FRITTELLA
216,PAPA,POTATO,BATATA,KARTOFFEL,POMME DE TERRE,PATATA
217,PASTA,PASTA,MASSA,PASTA,PÂTES,PASTA
218,PASTEL,PIE,TORTA,KUCHEN,TARTE,TORTA SALATA
219,PEPINO,CUCUMBER,PEPINO,GURKE,CONCOMBRE,CETRIOLO
220,PERA,PEAR,PERA,BIRNE,POIRE,PERA
221,PIMIENTA,PEPPER,PIMENTA,PFEFFER,POIVRE,PEPE
222,PIMIENTO,BELL PEPPER,PIMENTAO,PAPRIKA,POIVRON,PEPERONE
223,PISTACHO,PISTACHIO,PISTACHE,PISTAZIE,PISTACHE,PISTACCHIO
224,PIZZA,PIZZA,PIZZA,PIZZA,PIZZA,PIZZA
225,PRETZEL,PRETZEL,PRETZEL,BREZEL,BRETZEL,PRETZEL
226,QUESADILLA,QUESADILLA,QUESADILHA,QUESADILLA,QUESADILLA,QUESADILLA
227,QUESO,CHEESE,QUEIJO,KÄSE,FROMAGE,FORMAGGIO
228,RAMEN,RAMEN,LAMEN,RAMEN,RAMEN,RAMEN
229,SAL,SALT,SAL,SALZ,SEL,SALE
230,SALCHICHA,HOT DOG,SALSICHA,HOTDOG,HOT-DOG,HOT DOG
231,SANDÍA,WATERMELON,MELANCIA,WASSERMELONE,PASTÈQUE,ANGURIA
232,SÁNDWICH,SANDWICH,SANDUICHE,SANDWICH,SANDWICH,PANINO
233,SOPA,SOUP,SOPA,SUPPE,SOUPE,ZUPPA
234,SUSHI,SUSHI,SUSHI,SUSHI,SUSHI,SUSHI
235,TACO,TACO,TACO,TACO,TACO,TACO
236,TÉ,TEA,CHA,TEE,THÉ,TÈ
237,TOMATE,TOMATO,TOMATE,TOMATE,TOMATE,POMODORO
238,TORTA,CAKE,BOLO,TORTE,GÂTEAU,TORTA
239,UVA,GRAPE,UVA,TRAUBE,RAISIN,UVA
240,VINAGRE,VINEGAR,VINAGRE,ESSIG,VINAIGRE,ACETO
241,VINO,WINE,VINHO,WEIN,VIN,VINO
242,WAFFLE,WAFFLE,WAFFLE,WAFFEL,GAUFRE,WAFFLE
243,YOGUR,YOGURT,IOGURTE,JOGHURT,YAOURT,YOGURT
244,ZANAHORIA,CARROT,CENOURA,KAROTTE,CAROTTE,CAROTA
245,CENTAURO,CENTAUR,CENTAURO,ZENTAUR,CENTAURE,CENTAURO
246,CÍCLOPE,CYCLOPS,CICLOPE,ZYKLOP,CYCLOPE,CICLOPE
247,DRAGÓN,DRAGON,DRAGAO,DRACHE,DRAGON,DRAGO
248,DUENDE,IMP,DUENDE,KOBOLD,LUTIN,FOLLETTO
249,ELFO,ELF,ELFO,ELF,ELFE,ELFO
250,ESFINGE,SPHINX,ESFINGE,SPHINX,SPHINX,SFINGE
251,FANTASMA,GHOST,FANTASMA,GESPENST,FANTÔME,FANTASMA
252,FÉNIX,PHOENIX,FENIX,PHÖNIX,PHÉNIX,FENICE
253,GÁRGOLA,GARGOYLE,GARGULA,WASSERSPEIER,GARGOUILLE,GARGOLLA
254,GNOMO,GNOME,GNOMO,GNOM,GNOME,GNOMO
255,GOBLIN,GOBLIN,GOBLIN,GOBLIN,GOBELIN,GOBLIN
256,GRIFO,GRIFFIN,GRIFO,GREIF,GRIFFON,GRIFONE
257,HADA,FAIRY,FADA,FEE,FÉE,FATA
258,HIDRA,HYDRA,HIDRA,HYDRA,HYDRE,IDRA
259,HOMBRE LOBO,WEREWOLF,LOBISOMEM,WERWOLF,LOUP-GAROU,LICANTROPO
260,KRAKEN,KRAKEN,KRAKEN,KRAKEN,KRAKEN,KRAKEN
261,MINOTAURO,MINOTAUR,MINOTAURO,MINOTAURUS,MINOTAURE,MINOTAURO
262,MOMIA,MUMMY,MUMIA,MUMIE,MOMIE,MUMMIA
263,OGRO,OGRE,OGRO,OGER,OGRE,ORCO
264,PEGASO,PEGASUS,PEGASO,PEGASUS,PÉGASE,PEGASO
265,SIRENA,MERMAID,SEREIA,MEERJUNGFRAU,SIRÈNE,SIRENA
266,TROLL,TROLL,TROLL,TROLL,TROLL,TROLL
267,UNICORNIO,UNICORN,UNICORNIO,EINHORN,LICORNE,UNICORNO
268,VAMPIRO,VAMPIRE,VAMPIRO,VAMPIR,VAMPIRE,VAMPIRO
269,ZOMBI,ZOMBIE,ZUMBI,ZOMBIE,ZOMBIE,ZOMBIE
270,BOCA,MOUTH,BOCA,MUND,BOUCHE,BOCCA
271,BRAZO,ARM,BRACO,ARM,BRAS,BRACCIO
272,CABEZA,HEAD,CABECA,KOPF,TÊTE,TESTA
273,CADERA,HIP,QUADRIL,HÜFTE,HANCHE,ANCA
274,CALAVERA,SKULL,CAVEIRA,SCHÄDEL,CRÂNE,TESCHIO
275,CEJA,EYEBROW,SOBRANCELHA,AUGENBRAUE,SOURCIL,SOPRACCIGLIO
276,CEREBRO,BRAIN,CEREBRO,GEHIRN,CERVEAU,CERVELLO
277,CINTURA,WAIST,CINTURA,TAILLE,TAILLE,VITA
278,CODO,ELBOW,COTOVELO,ELLBOGEN,COUDE,GOMITO
279,COLUMNA VERTEBRAL,SPINE,COLUNA VERTEBRAL,WIRBELSÄULE,COLONNE VERTÉBRALE,COLONNA VERTEBRALE
280,CORAZÓN,HEART,CORACAO,HERZ,CŒUR,CUORE
281,COSTILLA,RIB,COSTELA,RIPPE,CÔTE,COSTOLA
282,CUELLO,NECK,PESCOCO,HALS,COU,COLLO
283,DEDO,FINGER,DEDO,FINGER,DOIGT,DITO
284,DIENTE,TOOTH,DENTE,ZAHN,DENT,DENTE
285,ESPALDA,BACK,COSTAS,RÜCKEN,DOS,SCHIENA
286,ESQUELETO,SKELETON,ESQUELETO,SKELETT,SQUELETTE,SCHELETRO
287,ESTÓMAGO,STOMACH,ESTOMAGO,MAGEN,ESTOMAC,STOMACO
288,FRENTE,FOREHEAD,TESTA,STIRN,FRONT,FRONTE
289,HÍGADO,LIVER,FIGADO,LEBER,FOIE,FEGATO
290,HOMBRO,SHOULDER,OMBRO,SCHULTER,ÉPAULE,SPALLA
291,LENGUA,TONGUE,LINGUA,ZUNGE,LANGUE,LINGUA
292,MANO,HAND,MAO,HAND,MAIN,MANO
293,MEJILLA,CHEEK,BOCHECHA,WANGE,JOUE,GUANCIA
294,MENTÓN,CHIN,QUEIXO,KINN,MENTON,MENTO
295,MUÑECA,WRIST,PULSO,HANDGELENK,POIGNET,POLSO
296,MÚSCULO,MUSCLE,MUSCULO,MUSKEL,MUSCLE,MUSCOLO
297,NARIZ,NOSE,NARIZ,NASE,NEZ,NASO
298,NUCA,NAPE,NUCA,NACKEN,NUQUE,NUCA
299,OJO,EYE,OLHO,AUGE,ŒIL,OCCHIO
300,OREJA,EAR,ORELHA,OHR,OREILLE,ORECCHIO
301,PECHO,CHEST,PEITO,BRUST,POITRINE,PETTO
302,PESTAÑA,EYELASH,CILIO,WIMPER,CIL,CIGLIO
303,PIE,FOOT,PE,FUSS,PIED,PIEDE
304,PIERNA,LEG,PERNA,BEIN,JAMBE,GAMBA
305,PULMÓN,LUNG,PULMAO,LUNGE,POUMON,POLMONE
306,RIÑÓN,KIDNEY,RIM,NIERE,REIN,RENE
307,RODILLA,KNEE,JOELHO,KNIE,GENOU,GINOCCHIO
308,TALÓN,HEEL,CALCANHAR,FERSE,TALON,TALLONE
309,TOBILLO,ANKLE,TORNOZELO,KNÖCHEL,CHEVILLE,CAVIGLIA
310,ARCO,BOW,ARCO,BOGEN,ARC,ARCO
311,ARO DE BÁSQUET,BASKETBALL HOOP,CESTA DE BASQUETE,BASKETBALLKORB,PANIER DE BASKET,CANESTRO
312,BALÓN,BALL,BOLA,BALL,BALLON,PALLONE
313,BASTÓN DE ESQUÍ,SKI POLE,BASTAO DE ESQUI,SKISTOCK,BÂTON DE SKI,BASTONCINO DA SCI
314,BATE,BAT,TACO DE BEISEBOL,BASEBALLSCHLÄGER,BATTE,MAZZA
315,BLOQUES DE CONSTRUCCIÓN,BUILDING BLOCKS,BLOCOS DE MONTAR,BAUSTEINE,BLOCS DE CONSTRUCTION,COSTRUZIONI
316,CANASTA,BASKET,CESTA,KORB,PANIER,CESTO
317,CANICAS,MARBLES,BOLINHA DE GUDE,MURMELN,BILLES,BIGLIE
318,CARRITO DE JUGUETE,TOY CAR,CARRINHO DE BRINQUEDO,SPIELZEUGAUTO,VOITURE JOUET,MACCHININA
319,COMETA,KITE,PIPA,DRACHEN,CERF-VOLANT,AQUILONE
320,CUBO RUBIK,RUBIKS CUBE,CUBO MAGICO,ZAUBERWÜRFEL,RUBIK'S CUBE,CUBO DI RUBIK
321,CUERDA PARA SALTAR,JUMP ROPE,CORDA DE PULAR,SPRINGSEIL,CORDE À SAUTER,CORDA PER SALTARE
322,DADO,DICE,DADO,WÜRFEL,DÉ,DADO
323,ESQUÍES,SKIS,ESQUIS,SKIER,SKIS,SCI
324,FLECHA,ARROW,FLECHA,PFEIL,FLÈCHE,FRECCIA
325,GUANTE DE BÉISBOL,BASEBALL GLOVE,LUVA DE BEISEBOL,BASEBALLHANDSCHUH,GANT DE BASEBALL,GUANTONE DA BASEBALL
326,GUANTE DE BOX,BOXING GLOVE,LUVA DE BOXE,BOXHANDSCHUH,GANT DE BOXE,GUANTONE DA BOXE
327,HULA HOOP,HULA HOOP,BAMBOLE,HULA-HOOP,CERCEAU,HULA HOOP
328,MEDALLA,MEDAL,MEDALHA,MEDAILLE,MÉDAILLE,MEDAGLIA
329,MUÑECO DE ACCIÓN,ACTION FIGURE,BONECO DE ACAO,ACTIONFIGUR,FIGURINE,ACTION FIGURE
