Key,ES,EN,PT,DE,FR,IT
HUD_OUT_OF_BOUNDS,Fuera del área de modelado,Outside the sculpting area,Fora da área de modelagem,Außerhalb des Modellierbereichs,Hors de la zone de sculpture,Fuori dall'area di modellazione
CHAT_WORD_WAS,La palabra era: {0},The word was: {0},A palavra era: {0},Das Wort war: {0},Le mot était : {0},La parola era: {0}
CHAT_WINNER,¡Ganó {0} con {1} puntos!,{0} wins with {1} points!,{0} venceu com {1} pontos!,{0} gewinnt mit {1} Punkten!,{0} gagne avec {1} points !,{0} vince con {1} punti!
CHAT_GUESSED_IT,¡adivinó la palabra!,guessed the word!,acertou a palavra!,hat das Wort erraten!,a deviné le mot !,ha indovinato la parola!
GUESS_YOU_WORD,La palabra era «{0}»,The word was «{0}»,A palavra era «{0}»,Das Wort war «{0}»,Le mot était «{0}»,La parola era «{0}»
GUESS_POINTS,+{0},+{0},+{0},+{0},+{0},+{0}
GUESS_ALL,¡Todos adivinaron!,Everyone guessed it!,Todos acertaram!,Alle haben es erraten!,Tout le monde a deviné !,Tutti hanno indovinato!
BUBBLE_GUESSED_IT,¡Adivinó la palabra!,Guessed the word!,Acertou a palavra!,Wort erraten!,Mot deviné !,Parola indovinata!
TOOL_ADD,Agregar,Add,Adicionar,Hinzufügen,Ajouter,Aggiungi
TOOL_ERASE,Borrar,Erase,Apagar,Löschen,Effacer,Cancella
TOOL_PAINT,Pintar,Paint,Pintar,Malen,Peindre,Dipingi
TOOL_EYES,Ojos,Eyes,Olhos,Augen,Yeux,Occhi
TOOL_DETAIL,Detalle,Detail,Detalhe,Detail,Détail,Dettaglio
TOOL_CLEAR_ALL,Borrar todo,Clear All,Apagar tudo,Alles löschen,Tout effacer,Cancella tutto
SHAPE_SPHERE,Esfera,Sphere,Esfera,Kugel,Sphère,Sfera
SHAPE_CUBE,Cubo,Cube,Cubo,Würfel,Cube,Cubo
SHAPE_CYLINDER,Cilindro,Cylinder,Cilindro,Zylinder,Cylindre,Cilindro
SHAPE_CONE,Cono,Cone,Cone,Kegel,Cône,Cono
SHAPE_HINT,Formas,Shapes,Formas,Formen,Formes,Forme
HINT_SAVE_COLOR,Guardar color,Save Color,Salvar cor,Farbe speichern,Enregistrer la couleur,Salva colore
HINT_PLANE_VERTICAL,Plano vertical,Vertical Plane,Plano vertical,Vertikale Ebene,Plan vertical,Piano verticale
HINT_PLANE_HORIZONTAL,Plano horizontal,Horizontal Plane,Plano horizontal,Horizontale Ebene,Plan horizontal,Piano orizzontale
PICKER_SAVE_COLOR,E — Guardar color,E — Save Color,E — Salvar cor,E — Farbe speichern,E — Enregistrer la couleur,E — Salva colore
SCULPT_UNDO,Deshacer,Undo,Desfazer,Rückgängig,Annuler,Annulla
SCULPT_CLEAR,Borrar,Clear,Limpar,Löschen,Effacer,Cancella
LOCKER,Casillero,Locker,Armário,Spind,Casier,Armadietto
LOCKER_HEAD,Cabeza,Head,Cabeça,Kopf,Tête,Testa
LOCKER_BODY,Cuerpo,Body,Corpo,Körper,Corps,Corpo
LOCKER_EMPTY,Vacío,Empty,Vazio,Leer,Vide,Vuoto
LOCKER_EQUIPPED,equipado,equipped,equipado,ausgerüstet,équipé,equipaggiato
LOCKER_EQUIP,Equipar,Equip,Equipar,Ausrüsten,Équiper,Equipaggia
LOCKER_CREATE,Crear,Create,Criar,Erstellen,Créer,Crea
LOCKER_EDIT,Editar,Edit,Editar,Bearbeiten,Modifier,Modifica
LOCKER_SAVE_CHANGES,¿Guardar los cambios?,Save changes?,Salvar alterações?,Änderungen speichern?,Enregistrer les modifications?,Salvare le modifiche?
LOCKER_CONFIRM,Confirmar,Confirm,Confirmar,Bestätigen,Confirmer,Conferma
LOCKER_BACK,Salir,Exit,Sair,Zurück,Quitter,Esci
LOCKER_SAVE,Guardar,Save,Salvar,Speichern,Enregistrer,Salva
LOCKER_DISCARD,Descartar,Discard,Descartar,Verwerfen,Abandonner,Scarta
LOCKER_APPLY_EQUIP,Aplicar y equipar,Apply & equip,Aplicar e equipar,Übernehmen & ausrüsten,Appliquer et équiper,Applica ed equipaggia
LOCKER_DONT_SAVE,No guardar,Don't save,Não salvar,Nicht speichern,Ne pas enregistrer,Non salvare
HEAD_PAINT_BUDGET,Pintura,Paint,Tinta,Farbe,Peinture,Vernice
HEAD_PAINT_BUDGET_FULL,¡Sin pintura!,Out of paint!,Sem tinta!,Keine Farbe mehr!,Plus de peinture!,Vernice esaurita!
KEY_MOVE,Mover,Move,Mover,Bewegen,Se déplacer,Muovi
KEY_LOOK,Cámara,Camera,Câmera,Kamera,Caméra,Camera
KEY_FLY_UP,Subir,Fly Up,Subir,Aufsteigen,Monter,Sali
KEY_FLY_DOWN,Bajar,Fly Down,Descer,Absteigen,Descendre,Scendi
KEY_SCULPT,Esculpir,Sculpt,Esculpir,Formen,Sculpter,Scolpisci
KEY_BRUSH_SIZE,Tamaño de brocha,Brush Size,Tamanho do pincel,Pinselgröße,Taille du pinceau,Dimensione pennello
KEY_MODE_ADD,Modo: Agregar,Mode: Add,Modo: Adicionar,Modus: Hinzufügen,Mode : Ajouter,Modalità: Aggiungi
KEY_MODE_ERASE,Modo: Borrar,Mode: Erase,Modo: Apagar,Modus: Löschen,Mode : Effacer,Modalità: Cancella
KEY_MODE_PAINT,Modo: Pintar,Mode: Paint,Modo: Pintar,Modus: Malen,Mode : Peindre,Modalità: Dipingi
KEY_MODE_EYES,Modo: Ojos,Mode: Eyes,Modo: Olhos,Modus: Augen,Mode : Yeux,Modalità: Occhi
KEY_CYCLE_SHAPE,Cambiar forma,Cycle Shape,Trocar forma,Form wechseln,Changer de forme,Cambia forma
KEY_AXIS_VERT,Plano vertical,Vertical Plane,Plano vertical,Vertikale Ebene,Plan vertical,Piano verticale
KEY_AXIS_HORIZ,Plano horizontal,Horizontal Plane,Plano horizontal,Horizontale Ebene,Plan horizontal,Piano orizzontale
KEY_ROTATE_SHAPE,Rotar forma,Rotate Shape,Girar forma,Form drehen,Tourner la forme,Ruota forma
KEY_CLEAR_ALL,Deshacer / Borrar todo (3s),Undo / Clear All (3s),Desfazer / Apagar tudo (3s),Rückgängig / Alles löschen (3s),Annuler / Tout effacer (3s),Annulla / Cancella tutto (3s)
KEY_COLOR_PICK,Elegir color,Pick Color,Escolher cor,Farbe wählen,Choisir la couleur,Scegli colore
KEY_SAVE_COLOR,Guardar color,Save Color,Salvar cor,Farbe speichern,Enregistrer la couleur,Salva colore
KEY_CHAT,Chat,Chat,Chat,Chat,Chat,Chat
KEY_PAUSE,Pausa,Pause,Pausa,Pause,Pause,Pausa
HEAD_CTRL_CAMERA,WASD — Girar cámara,WASD — Rotate camera,WASD — Girar câmera,WASD — Kamera drehen,WASD — Tourner la caméra,WASD — Ruota camera
HEAD_CTRL_BRUSH,Rueda — Tamaño,Wheel — Size,Roda — Tamanho,Rad — Größe,Molette — Taille,Rotella — Dimensione
HEAD_CTRL_COLOR,Click der. — Color,Right click — Color,Botão dir. — Cor,Rechtsklick — Farbe,Clic droit — Couleur,Tasto dx — Colore
HEAD_CTRL_EXIT,G — Salir y guardar,G — Exit and save,G — Sair e salvar,G — Beenden und speichern,G — Quitter et enregistrer,G — Esci e salva
HEAD_APPLY,Aplicar y salir,Apply and exit,Aplicar e sair,Anwenden und beenden,Appliquer et quitter,Applica ed esci
HEAD_PAINT_BODY,Cabeza / Cuerpo,Head / Body,Cabeça / Corpo,Kopf / Körper,Tête / Corps,Testa / Corpo
PAUSE_TITLE,Pausa,Paused,Pausado,Pausiert,En pause,In pausa
PAUSE_RESUME,Continuar,Resume,Continuar,Fortsetzen,Reprendre,Riprendi
PAUSE_SETTINGS,Configuración,Settings,Configurações,Einstellungen,Paramètres,Impostazioni
PAUSE_LEAVE,Salir al menú,Quit to Menu,Sair para o menu,Zum Menü,Quitter vers le menu,Esci al menu
ERR_STEAM_CONNECT,No se pudo conectar con Steam,Could not connect to Steam,Não foi possível conectar à Steam,Verbindung zu Steam fehlgeschlagen,Impossible de se connecter à Steam,Impossibile connettersi a Steam
ERR_CREATE_SESSION,No se pudo crear la sesión,Could not create the game,Não foi possível criar a partida,Spiel konnte nicht erstellt werden,Impossible de créer la partie,Impossibile creare la partita
ERR_JOIN_SESSION,No se pudo unir a la sesión,Could not join the game,Não foi possível entrar na partida,Beitritt zum Spiel fehlgeschlagen,Impossible de rejoindre la partie,Impossibile entrare nella partita
ERR_INVALID_CODE,Código inválido,Invalid code,Código inválido,Ungültiger Code,Code invalide,Codice non valido
ERR_SESSION_NOT_FOUND,No se encontró la partida,Game not found,Partida não encontrada,Spiel nicht gefunden,Partie introuvable,Partita non trovata
ERR_KICKED,El anfitrión te expulsó de la partida,The host kicked you from the game,O anfitrião te expulsou da partida,Der Gastgeber hat dich entfernt,L'hôte vous a expulsé,L'host ti ha espulso
INVITE_HOST_OFFLINE,No podés invitar: no estás conectado a Steam,Can't invite: you're not connected to Steam,Não pode convidar: não está conectado à Steam,Einladen nicht möglich: nicht mit Steam verbunden,Invitation impossible : non connecté à Steam,Impossibile invitare: non connesso a Steam
ERR_WRONG_PASSWORD,Contraseña incorrecta,Wrong password,Senha incorreta,Falsches Passwort,Mot de passe incorrect,Password errata
ERR_CONNECT_SESSION,No se pudo conectar a la sesión,Could not connect to the game,Não foi possível conectar à partida,Verbindung zum Spiel fehlgeschlagen,Impossible de se connecter à la partie,Impossibile connettersi alla partita
ERR_SESSION_FULL,La sala está llena,The room is full,A sala está cheia,Der Raum ist voll,Le salon est plein,La stanza è piena
ERR_HOST_LEFT,El anfitrión cerró la partida,The host closed the game,O anfitrião encerrou a partida,Der Gastgeber hat das Spiel beendet,L'hôte a fermé la partie,L'host ha chiuso la partita
FRIENDS_TITLE,Amigos,Friends,Amigos,Freunde,Amis,Amici
FRIENDS_REFRESH,Actualizar,Refresh,Atualizar,Aktualisieren,Actualiser,Aggiorna
FRIENDS_EMPTY,No hay amigos en línea,No friends online,Nenhum amigo online,Keine Freunde online,Aucun ami en ligne,Nessun amico online
FRIENDS_STEAM_INVITE,Invitar por Steam,Invite via Steam,Convidar pela Steam,Über Steam einladen,Inviter via Steam,Invita tramite Steam
FRIEND_STATUS_PLAYING,Jugando,In game,Jogando,Im Spiel,En jeu,In gioco
FRIEND_STATUS_ONLINE,En línea,Online,Online,Online,En ligne,Online
FRIEND_STATUS_OFFLINE,Desconectado,Offline,Offline,Offline,Hors ligne,Offline
FRIEND_INVITE,Invitar,Invite,Convidar,Einladen,Inviter,Invita
FRIEND_INVITED,Invitado,Invited,Convidado,Eingeladen,Invité,Invitato
FIND_TAB_PUBLIC,Públicas,Public,Públicas,Öffentlich,Publiques,Pubbliche
FIND_TAB_FRIENDS,Amigos,Friends,Amigos,Freunde,Amis,Amici
FIND_FRIENDS_EMPTY,Ningún amigo tiene partida,No friends hosting,Nenhum amigo com partida,Keine Freunde hosten,Aucun ami n'héberge,Nessun amico ospita
CREATE_FRIENDS_ONLY,Solo amigos,Friends only,Só amigos,Nur Freunde,Amis seulement,Solo amici
INVITE_POPUP_MSG,{0} te invitó a jugar,{0} invited you to play,{0} convidou você para jogar,{0} hat dich zum Spielen eingeladen,{0} t'a invité à jouer,{0} ti ha invitato a giocare
INVITE_ACCEPT,Aceptar,Accept,Aceitar,Annehmen,Accepter,Accetta
INVITE_REJECT,Rechazar,Decline,Recusar,Ablehnen,Refuser,Rifiuta
WORDPACK_TITLE,Bancos de palabras,Word banks,Bancos de palavras,Wortbänke,Banques de mots,Banche di parole
WORDPACK_USE,Usar,Use,Usar,Verwenden,Utiliser,Usa
WORDPACK_INUSE,En uso,In use,Em uso,In Verwendung,Utilisé,In uso
WORDPACK_PUBLISH,Publicar CSV,Publish CSV,Publicar CSV,CSV veröffentlichen,Publier CSV,Pubblica CSV
WORDPACK_REFRESH,Actualizar,Refresh,Atualizar,Aktualisieren,Actualiser,Aggiorna
WORDPACK_DEFAULT,Banco por defecto,Default bank,Banco padrão,Standardbank,Banque par défaut,Banca predefinita
WORDPACK_EMPTY,No hay bancos (suscribite a alguno en el Workshop),No banks (subscribe to some on the Workshop),Nenhum banco (inscreva-se em algum no Workshop),Keine Bänke (im Workshop abonnieren),Aucune banque (abonnez-vous sur le Workshop),Nessuna banca (iscriviti nel Workshop)
WORDPACK_BY,por {0},by {0},por {0},von {0},par {0},di {0}
WORDPACK_SELECTED,En uso: {0},In use: {0},Em uso: {0},In Verwendung: {0},Utilisé : {0},In uso: {0}
WORDPACK_PUB_OK,¡Banco publicado al Workshop!,Bank published to Workshop!,Banco publicado no Workshop!,Bank im Workshop veröffentlicht!,Banque publiée sur le Workshop !,Banca pubblicata nel Workshop!
WORDPACK_PUB_FAIL,No se pudo publicar: {0},Could not publish: {0},Não foi possível publicar: {0},Veröffentlichung fehlgeschlagen: {0},Échec de la publication : {0},Impossibile pubblicare: {0}
WORDPACK_UPLOADING,Subiendo archivo,Uploading file,Enviando arquivo,Datei wird hochgeladen,Envoi du fichier,Caricamento file
WORDPACK_NO_CSV,Elegí un banco (CSV) primero,Choose a bank (CSV) first,Escolha um banco (CSV) primeiro,Wähle zuerst eine Bank (CSV),Choisis d'abord une banque (CSV),Scegli prima una banca (CSV)
WORDPACK_CHOOSE_CSV,Elegir banco (CSV),Choose bank (CSV),Escolher banco (CSV),Bank wählen (CSV),Choisir banque (CSV),Scegli banca (CSV)
WORDPACK_LOAD_THUMB,Cargar miniatura,Load thumbnail,Carregar miniatura,Miniatur laden,Charger vignette,Carica miniatura
WORDPACK_APPLY,Aplicar,Apply,Aplicar,Anwenden,Appliquer,Applica
WORKSHOP_TITLE,Workshop,Workshop,Workshop,Workshop,Workshop,Workshop
WORKSHOP_ADD,Añadir,Add,Adicionar,Hinzufügen,Ajouter,Aggiungi
WORKSHOP_ADDED,Añadido,Added,Adicionado,Hinzugefügt,Ajouté,Aggiunto
WORKSHOP_SEARCHING,Buscando...,Searching...,Procurando...,Suche...,Recherche...,Ricerca...
WORKSHOP_EMPTY,No se encontraron mods,No mods found,Nenhum mod encontrado,Keine Mods gefunden,Aucun mod trouvé,Nessun mod trovato
MAPS_SOON,Mapas — Próximamente,Maps — Coming soon,Mapas — Em breve,Karten — Demnächst,Cartes — Bientôt,Mappe — Prossimamente
LIBRARY_TITLE,Biblioteca,Library,Biblioteca,Bibliothek,Bibliothèque,Libreria
GS_WORD,Palabra: {0},Word: {0},Palavra: {0},Wort: {0},Mot : {0},Parola: {0}
GS_MAP,Mapa: {0},Map: {0},Mapa: {0},Karte: {0},Carte : {0},Mappa: {0}
GS_DEFAULT,Predeterminado,Default,Padrão,Standard,Défaut,Predefinito
INVITE_POPUP_MSG2,te invitó a jugar,invited you to play,convidou você para jogar,hat dich zum Spielen eingeladen,t'a invité à jouer,ti ha invitato a giocare
RES_AUTO,Automática (recomendada),Automatic (recommended),Automática (recomendada),Automatisch (empfohlen),Automatique (recommandée),Automatica (consigliata)
SV_PRIVATE,Sala privada: {0},Private room: {0},Sala privada: {0},Privater Raum: {0},Salon privé : {0},Stanza privata: {0}
SV_TURNTIME,Tiempo de turno: {0} s,Turn time: {0} s,Tempo do turno: {0} s,Zugzeit: {0} s,Temps du tour : {0} s,Tempo turno: {0} s
SV_ROUNDS,Rondas: {0},Rounds: {0},Rodadas: {0},Runden: {0},Manches : {0},Round: {0}
SV_REVEAL,Revelado: {0}%,Reveal: {0}%,Revelação: {0}%,Aufdeckung: {0}%,Révélation : {0}%,Rivelazione: {0}%
SV_LIBRARY,Biblioteca: {0},Library: {0},Biblioteca: {0},Bibliothek: {0},Bibliothèque : {0},Libreria: {0}
SV_YES,Sí,Yes,Sim,Ja,Oui,Sì
SV_NO,No,No,Não,Nein,Non,No
